"CategoryID","CategoryName"
11498,"Sick Puppies"
11501,"Randy Rogers"
11503,"The Music"
11505,"The Futureheads"
11506,"Suprême NTM"
11511,"Ben Becker"
11513,"Third Eye Blind"
11516,"Roberto Carlos"
11517,"Soulja Boy"
11519,"High Kings"
11520,"Chiodos"
11523,"Crosby Stills and Nash"
11525,"Kathleen Edwards"
11528,"Yes"
11529,"Black Rebel Motorcycle Club"
11530,"Death Cab for Cutie"
11531,"Arch Enemy"
11532,"David Sanborn"
11536,"Einstuerzende Neubauten"
11541,"Jack Jones"
11542,"Alanis Morissette"
11544,"Todd Rundgren"
11546,"Raphael"
11547,"Mylene Farmer"
11548,"The Subways"
11552,"Thunder"
11553,"Roger Whittaker"
11554,"Queen"
11557,"Udo Lindenberg"
11566,"Celtic Thunder"
11569,"EmmyLou Harris"
11575,"Black Dahlia Murder"
11581,"Ting Tings"
11588,"Foals"
11591,"Feeder"
11593,"Frühlingsträume - Herbstträume der Volksmusik"
11601,"Alain Clark"
11602,"Within Temptation"
11610,"One Night Only"
11617,"Eläkeläiset"
11622,"Minnie Driver"
11623,"De La Soul"
11624,"10cc"
11626,"Billy Idol"
11630,"Ina Müller"
11636,"Estelle"
11654,"Coldplay"
11655,"Oasis"
11665,"Busta Rhymes"
11670,"Donots"
11673,"Schandmaul"
11674,"A-ha"
11676,"Aiden"
11678,"Air Traffic"
11681,"Altered Images"
11682,"Art Brut"
11685,"Billy Bragg"
11687,"Blood Red Shoes"
11688,"Blue Oyster Cult"
11689,"Heather Nova"
11690,"Broken Social Scene"
11691,"Brandi Carlile"
11692,"Beck"
11693,"Buzzcocks"
11694,"Andy Burrows"
11695,"Children of Bodom"
11696,"Counting Crows"
