categoryID,categoryName,spotifyID,spotifyName,spotifyPopularity
5272,brian setzer orchestra,7HQH1SJokcVMdstilKJ2S8,The Brian Setzer Orchestra,48
5283,jonas brothers,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,70
5286,tokyo police club,3wyfo3svXNWnszGAEVey11,Tokyo Police Club,60
5292,calle 13,0yNSzH5nZmHzeE2xn6Xshb,Calle 13,78
5301,t-pain,3aQeKQSyrW4qWr35idm0cy,T-Pain,83
5305,sara evans,7qvsLYsYP0MHD7jkdv6DAG,Sara Evans,62
5308,hootie and the blowfish,08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,56
5311,lamb of god,3JFsVIxOn7STeilPICkkB2,Lamb of God,71
5335,the moody blues,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,64
5343,tesla,5PLfDC4ai8iUQSthHz1wpJ,Tesla,14
5347,alan jackson,3gf6UaOU3ptyijXS6BRO3K,Alan Jackson,12
5349,queens of the stone age,4pejUc4iciQfgdX6OKulQn,Queens Of The Stone Age,76
5350,george thorogood,1avbhJvMxjF2VhG7BXXn60,George Thorogood,41
5351,big bad voodoo daddy,6ROyXB8NDG0fA78S46JdTB,Big Bad Voodoo Daddy,48
5363,george jones,2OpqcUtj10HHvGG6h9VYC5,George Jones,65
5366,zappa plays zappa,6eXsoho1YciYwxYpATyp3S,Reggio Plays Zappa,0
5373,staind,5KDIH2gF0VpelTqyQS7udb,Staind,72
5382,johnny mathis,21LGsW7bziR4Ledx7WZ1Wf,Johnny Mathis,56
5383,wolf parade,0XSqX2PB3C5dTMv7SZaxSm,Wolf Parade,52
5386,asia,1G4PKTNkUikdeVMT7Oqrc4,Asia,9
5390,sammy hagar,1hXjTjJzZTXDZ75AclOo6N,Sammy Hagar,56
5391,common,2GHclqNVjqGuiE5mA7BEoc,Common,75
5398,they might be giants,6zB02lwP6L6ZH32nggQiJT,They Might Be Giants,63
5399,montgomery gentry,3bGXaFVQLASmDMdjjeJr8a,Montgomery Gentry,65
5407,crosby and nash,2mDlls63YpRsMjgpyXxyu6,Crosby & Nash,37
5411,village people,0dCKce6tJJdHvlWnDMwzPW,Village People,61
5416,summer jam,1EZPNiLDomskGtIJHIeZ3J,Summer Jam,26
5418,low,0wz0jO9anccPzH04N7FLBH,Low,56
5434,boz scaggs,46njgd2Rq9tZc4ZjeQMgbh,Boz Scaggs,59
5441,joan osborne,0djV4iaxhNfYWpH60ia85o,Joan Osborne,56
5442,stephen stills,4WlSvDKaq1PA2Nr7cCIPxX,Stephen Stills,54
5443,bowling for soup,5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,69
5445,blue october,1TJbmc7jTpw78GKCiMpvDh,Blue October,65
5447,temptations,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,74
5451,eric clapton,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,80
